code,name,market,industry_name,industry_code
2637,慧洋-KY,listed,航運業,19
2642,宅配通,listed,航運業,19
2645,長榮航太,listed,航運業,19
2646,星宇航空,listed,航運業,19
2701,萬企,listed,觀光餐旅,20
2702,華園,listed,觀光餐旅,20
2704,國賓,listed,觀光餐旅,20
2705,六福,listed,觀光餐旅,20
2706,第一店,listed,觀光餐旅,20
2707,晶華,listed,觀光餐旅,20
2712,遠雄來,listed,觀光餐旅,20
2722,夏都,listed,觀光餐旅,20
2723,美食-KY,listed,觀光餐旅,20
2727,王品,listed,觀光餐旅,20
2731,雄獅,listed,觀光餐旅,20
2739,寒舍,listed,觀光餐旅,20
2748,雲品,listed,觀光餐旅,20
2753,八方雲集,listed,觀光餐旅,20
2762,世界健身-KY,listed,運動休閒,26
2801,彰銀,listed,金融保險業,27
2812,台中銀,listed,金融保險業,27
2816,旺旺保,listed,金融保險業,27
2820,華票,listed,金融保險業,27
2832,台產,listed,金融保險業,27
2834,臺企銀,listed,金融保險業,27
2836,高雄銀,listed,金融保險業,27
2838,聯邦銀,listed,金融保險業,27
2845,遠東銀,listed,金融保險業,27
2849,安泰銀,listed,金融保險業,27
2850,新產,listed,金融保險業,27
2851,中再保,listed,金融保險業,27
2852,第一保,listed,金融保險業,27
2855,統一證,listed,金融保險業,27
2867,三商壽,listed,金融保險業,27
2880,華南金,listed,金融保險業,27
2881,富邦金,listed,金融保險業,27
2882,國泰金,listed,金融保險業,27
2883,凱基金,listed,金融保險業,27
2884,玉山金,listed,金融保險業,27
2885,元大金,listed,金融保險業,27
2886,兆豐金,listed,金融保險業,27
2887,台新新光金,listed,金融保險業,27
2889,國票金,listed,金融保險業,27
2890,永豐金,listed,金融保險業,27
2891,中信金,listed,金融保險業,27
2892,第一金,listed,金融保險業,27
2897,王道銀行,listed,金融保險業,27
2901,欣欣,listed,貿易百貨業,21
2903,遠百,listed,貿易百貨業,21
2904,匯僑,listed,其他業,2
2905,三商,listed,貿易百貨業,21
